#  STN,YYYYMMDD,TG,TN,TX
    13,20171129,   17,   -6,   40
    13,20171130,    6,    1,   12
    13,20171201,  -26,  -64,   11
    13,20171202,  -19,  -39,    0
    13,20171203,  -15,  -35,    5
    13,20171204,    0,-9999,    9
    13,20171205,   11,    2,   21
    13,20171206,   -3,  -33,   26
    13,20171207,   -6,  -49,   36
    13,20171208,   -2,  -41,   36
    13,20171209,   -8,  -28,   11
    13,20171210,  -49,  -86,  -13
    13,20171211,   53,  -23,  130
    13,20171212,   32,   25,   39
    13,20171213,    5,   -4,   14
    13,20171214,   -7,  -26,   11
    13,20171215,   11,    2,   21
    13,20171216,    0,  -18,   19
    13,20171217,   -3,  -10,    4
    13,20171218,  -51,  -79,  -24
    13,20171219,  -31,  -63,    1
    13,20171220,   -8,  -33,   16
    13,20171221,  -32,  -80,   15
    13,20171222,   11,   -6,   29
    13,20171223,   19,   10,   29
    13,20171224,   -1,  -43,   40
    13,20171225,   -7,  -59,   44
    13,20171226,   -4,  -63,   55
    13,20171227,   34,  -31,  100
    13,20171228,   23,   10,   36
    13,20171229,   -3,  -26,   20
    13,20171230,  -14,  -43,   15
    13,20171231,   11,    1,   21
