unit,duration,partner,age,geo\time	2012 	2013 	2014 	2015 	2016 	2017 
NR,N_GE1,WORLD,Y25-44,SK	1022690 	1021673 b	1071115 	1290459 	1241355 	: 
NR,N_GE1,WORLD,Y25-44,UK	11955000 	11447000 	12133000 	10995200 	12217390 	: 
NR,N_GE1,WORLD,Y35-44,AT	1027899 	949513 	943551 	925742 	923230 	: 
NR,N_GE1,WORLD,Y35-44,BE	843347 	930093 	1053768 	923888 	1053185 	: 
NR,N_GE1,WORLD,Y35-44,BG	267049 	324011 	345104 	382550 	444519 	: 
NR,N_GE1,WORLD,Y35-44,CH	1074245 	1025993 	1111937 	1042425 	1023143 	: 
NR,N_GE1,WORLD,Y35-44,CY	96521 e	98708 e	83515 e	86897 e	89961 e	: 
NR,N_GE1,WORLD,Y35-44,CZ	1365140 	1367261 	1594677 	1578482 	1552704 	: 
NR,N_GE1,WORLD,Y35-44,DE	9447717 	8808700 	8932169 	8490051 	7787842 	7255179 
NR,N_GE1,WORLD,Y35-44,DK	650331 e	623774 	659018 	578704 	639283 	: 
NR,N_GE1,WORLD,Y35-44,EE	140216 	136968 	157353 	148615 	145274 	: 
NR,N_GE1,WORLD,Y35-44,EL	748434 	685355 	809729 	723853 	736989 	: 
NR,N_GE1,WORLD,Y35-44,ES	4691230 	4767231 	4758302 	5527390 b	5663287 	: 
NR,N_GE1,WORLD,Y35-44,FI	616242 	611282 	635399 	647171 	651634 	: 
NR,N_GE1,WORLD,Y35-44,FR	7452432 	7388116 	7114289 	7199743 	7040978 	: 
NR,N_GE1,WORLD,Y35-44,HR	368935 	195764 	333841 	317262 b	300189 	: 
NR,N_GE1,WORLD,Y35-44,HU	933019 	919650 	916692 	980311 	983592 	: 
NR,N_GE1,WORLD,Y35-44,IE	537172 	554897 	579707 	587671 	611420 	601649 
NR,N_GE1,WORLD,Y35-44,IT	6404878 	5305773 	4248825 b	5067476 	4824273 	: 
NR,N_GE1,WORLD,Y35-44,LT	264316 	285262 	297397 	289858 	277470 	: 
NR,N_GE1,WORLD,Y35-44,LU	74043 	75762 	75042 	78261 	112019 	: 
NR,N_GE1,WORLD,Y35-44,LV	140076 	166133 	177668 	177467 	182466 	: 
NR,N_GE1,WORLD,Y35-44,ME	: 	: 	: 	: 	: c	: 
NR,N_GE1,WORLD,Y35-44,MT	31690 	34048 	25751 	28651 	30102 	: 
NR,N_GE1,WORLD,Y35-44,NL	2070157 	2034697 	1909482 	1852755 	1891895 	: 
NR,N_GE1,WORLD,Y35-44,NO	: 	734560 	: 	: 	: 	: 
NR,N_GE1,WORLD,Y35-44,PL	2310000 	3190000 	3149334 	3533829 	3672113 	: 
NR,N_GE1,WORLD,Y35-44,PT	719490 	690743 	765141 	885375 	902040 	: 
NR,N_GE1,WORLD,Y35-44,RO	880671 	971015 	943000 	962556 	890998 	: 
NR,N_GE1,WORLD,Y35-44,SE	: u	: 	1046290 	917624 	933611 	: 
NR,N_GE1,WORLD,Y35-44,SI	205275 	228411 e	228210 e	239362 	254424 	: 
NR,N_GE1,WORLD,Y35-44,SK	494221 	555340 b	609948 	787459 	584244 	: 
NR,N_GE1,WORLD,Y35-44,UK	5779000 	5485000 	5968700 	5456000 	6010210 	: 
NR,N_GE1,WORLD,Y45-54,AT	1099586 	1111733 	1111163 	1142200 	1123034 	: 
NR,N_GE1,WORLD,Y45-54,BE	999605 	1217372 	1127000 	1094330 	1232189 	: 
NR,N_GE1,WORLD,Y45-54,BG	205095 	260048 	273491 	311440 	337114 	: 
NR,N_GE1,WORLD,Y45-54,CH	1180120 	1252102 	1116036 	1141158 	1265973 	: 
NR,N_GE1,WORLD,Y45-54,CY	88593 e	51894 e	66444 e	70405 e	73214 e	: 
NR,N_GE1,WORLD,Y45-54,CZ	1049023 	1050332 	1149536 	1124393 	1214090 	: 
NR,N_GE1,WORLD,Y45-54,DE	11015234 	10412732 	10501919 	9941400 	10214942 	9647036 
NR,N_GE1,WORLD,Y45-54,DK	636405 e	679811 	705041 	631513 	696885 	: 
NR,N_GE1,WORLD,Y45-54,EE	110950 	118792 	124645 	128598 	113019 	: 
NR,N_GE1,WORLD,Y45-54,EL	665001 	565155 	666266 	677336 	639055 	: 
NR,N_GE1,WORLD,Y45-54,ES	3951265 	4032037 	4096480 	4468034 b	4890383 	: 
NR,N_GE1,WORLD,Y45-54,FI	693901 	690648 	695734 	686977 	653804 	: 
NR,N_GE1,WORLD,Y45-54,FR	5571050 	5639465 	5760180 	5844718 	5815599 	: 
NR,N_GE1,WORLD,Y45-54,HR	294964 	342198 	323695 	293881 b	266398 	: 
NR,N_GE1,WORLD,Y45-54,HU	688679 	682338 	732273 	739000 	848641 	: 
NR,N_GE1,WORLD,Y45-54,IE	439937 	453065 	458615 	483946 	491301 	507740 
NR,N_GE1,WORLD,Y45-54,IT	5139630 	4326628 	3950641 b	4461853 	4297944 	: 
NR,N_GE1,WORLD,Y45-54,LT	263220 	293813 	301633 	302063 	302150 	: 
NR,N_GE1,WORLD,Y45-54,LU	65084 	72746 	73553 	74538 	60798 	: 
NR,N_GE1,WORLD,Y45-54,LV	144243 	164664 	159625 	175052 	173402 	: 
NR,N_GE1,WORLD,Y45-54,ME	: 	: 	: 	: 	: c	: 
NR,N_GE1,WORLD,Y45-54,MT	26437 	33894 	39338 	37197 	42543 	: 
NR,N_GE1,WORLD,Y45-54,NL	2094016 	2104624 	2116517 	2152059 	2209359 	: 
NR,N_GE1,WORLD,Y45-54,NO	: 	604490 	: 	: 	: 	: 
NR,N_GE1,WORLD,Y45-54,PL	1990000 	2370000 	2837123 	2588555 	2652848 	: 
NR,N_GE1,WORLD,Y45-54,PT	486142 	495873 	555225 	604957 	674610 	: 
NR,N_GE1,WORLD,Y45-54,RO	479492 	537541 	559456 	606519 	583241 	: 
NR,N_GE1,WORLD,Y45-54,SE	: u	: 	1224620 	1388497 	1311768 	: 
NR,N_GE1,WORLD,Y45-54,SI	233892 	199395 e	210405 e	205681 	212447 	: 
NR,N_GE1,WORLD,Y45-54,SK	504837 	376534 b	417732 	499948 	386814 	: 
NR,N_GE1,WORLD,Y45-54,UK	5585000 	5853000 	6349300 	6055300 	6395880 	: 
NR,N_GE1,WORLD,Y45-64,AT	1843724 	1912910 	1908657 	1965635 	1950777 	: 
NR,N_GE1,WORLD,Y45-64,BE	1902850 	2329468 	1971725 	2137091 	2309105 	: 
NR,N_GE1,WORLD,Y45-64,BG	343651 	432601 	493831 	559572 	577849 	: 
NR,N_GE1,WORLD,Y45-64,CH	2036476 	2059774 	1930819 	1999981 	2165667 	: 
NR,N_GE1,WORLD,Y45-64,CY	155995 e	86501 e	117642 e	125959 e	130378 e	: 
NR,N_GE1,WORLD,Y45-64,CZ	2103204 	2128914 	2348218 	2186719 	2278514 	: 
NR,N_GE1,WORLD,Y45-64,DE	18838632 	18715640 	18649815 	18149499 	18565272 	18522325 
NR,N_GE1,WORLD,Y45-64,DK	1180989 e	1244306 	1276703 	1151698 	1259828 	: 
NR,N_GE1,WORLD,Y45-64,EE	195497 	225761 	228888 	236768 	220581 	: 
NR,N_GE1,WORLD,Y45-64,EL	1120490 	1008611 	1153302 	1157869 	1107473 	: 
NR,N_GE1,WORLD,Y45-64,ES	6835031 	7060638 	7147596 	7739000 b	8457040 	: 
NR,N_GE1,WORLD,Y45-64,FI	1400459 	1364207 	1373511 	1339309 	1319498 	: 
NR,N_GE1,WORLD,Y45-64,FR	12251453 	12231545 	12306270 	12540774 	12207900 	: 
NR,N_GE1,WORLD,Y45-64,HR	515157 	561286 	566334 	507009 b	495001 	: 
NR,N_GE1,WORLD,Y45-64,HU	1421723 	1395238 	1508710 	1494970 	1573952 	: 
NR,N_GE1,WORLD,Y45-64,IE	781648 	782362 	820152 	848596 	875054 	899788 
NR,N_GE1,WORLD,Y45-64,IT	8465707 	7372663 	6941480 b	7563684 	7682493 	: 
NR,N_GE1,WORLD,Y45-64,LT	418646 	453410 	464519 	465069 	462053 	: 
NR,N_GE1,WORLD,Y45-64,LU	111038 	124420 	124263 	126331 	128958 	: 
NR,N_GE1,WORLD,Y45-64,LV	259924 	286531 	269440 	302087 	318434 	: 
NR,N_GE1,WORLD,Y45-64,ME	: 	: 	: 	: 	: c	: 
NR,N_GE1,WORLD,Y45-64,MT	55899 	52695 	59037 	53546 	64888 	: 
NR,N_GE1,WORLD,Y45-64,NL	4000769 	3964660 	3972947 	3992950 	4092743 	: 
NR,N_GE1,WORLD,Y45-64,NO	: 	1191080 	: 	: 	: 	: 
NR,N_GE1,WORLD,Y45-64,PL	4420000 	5130000 	5390014 	5056261 	5390378 	: 
NR,N_GE1,WORLD,Y45-64,PT	1071158 	1072368 	1091942 	1174932 	1244630 	: 
NR,N_GE1,WORLD,Y45-64,RO	968169 	1054884 	1105082 	1191168 	1087984 	: 
NR,N_GE1,WORLD,Y45-64,SE	: u	: 	2036630 	2037849 	1991712 	: 
NR,N_GE1,WORLD,Y45-64,SI	401024 	351279 e	369788 e	356197 	387657 	: 
NR,N_GE1,WORLD,Y45-64,SK	827649 	815671 b	753092 	842878 	1004340 	: 
NR,N_GE1,WORLD,Y45-64,UK	11001000 	10898000 	11592000 	11443900 	11677220 	: 
NR,N_GE1,WORLD,Y55-64,AT	744138 	801177 	797494 	823435 	827743 	: 
NR,N_GE1,WORLD,Y55-64,BE	903245 	1112096 	844725 	1042761 	1076917 	: 
NR,N_GE1,WORLD,Y55-64,BG	138556 	172553 	220340 	248132 	240735 	: 
NR,N_GE1,WORLD,Y55-64,CH	856356 	807672 	814784 	858822 	899694 	: 
NR,N_GE1,WORLD,Y55-64,CY	67402 e	34607 e	51198 e	55554 e	57165 e	: 
